,Model,Displ,Cyl,Trans,Drive,Fuel,Sales_Area,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,FE_Calc_Appr,City_MPG,Hwy_MPG,Cmb_MPG,Unadj_Cmb_MPG,Greenhouse_Gas_Score,SmartWay
0,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT03.7PKR,SUV,7,Drv,15,20,17,22.0527,4,no
1,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT03.7PKR,SUV,6,Drv,15,20,17,22.0527,4,no
2,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT02.3DKR,SUV,7,Drv,17,22,19,24.1745,5,no
3,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT02.3DKR,SUV,6,Drv,17,22,19,24.1745,5,no
4,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,16,24,19,24.5629,5,no
5,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,16,24,19,24.5629,5,no
6,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,18,26,21,27.2768,6,yes
7,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,17,26,20,25.9414,6,yes
8,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,18,27,21,27.569,6,yes
9,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,18,26,21,27.2768,6,no
10,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,17,26,20,25.9414,6,no
11,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,18,27,21,27.569,6,no
12,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
13,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
14,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
15,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
16,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
17,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
18,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
19,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
20,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
21,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
22,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
23,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
24,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
25,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
26,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
27,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
28,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,21,29,24,31.1162,7,yes
29,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,22,29,25,32.5709,7,yes
30,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,21,29,24,31.1162,7,yes
31,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,22,29,25,32.5709,7,yes
32,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
33,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
34,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8ADXV02.0352,small car,7,Drv,21,30,24,31.8164,7,yes
35,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV02.0352,small car,6,Drv,21,30,24,31.8164,7,yes
36,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
37,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
38,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
39,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
40,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
41,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
42,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
43,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
44,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
45,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
46,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
47,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
48,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,midsize car,6,Drv,17,25,20,25.8965,6,no
